sale_id,sale_date,region,product,customer_id,units_sold,revenue
69,2024-12-29,South America,Product A,C0592,258,127410.4
70,2024-07-27,Asia-Pacific,Product D,C0951,430,189725.42
71,2025-06-18,Africa,Product E,C0006,295,81799.31
72,2024-11-25,Africa,Product E,C0155,169,62421.19
73,2025-02-17,Africa,Product B,C0486,220,55206.06
74,2024-10-18,Asia-Pacific,Product D,C0714,190,23126.15
75,2024-12-22,North America,Product E,C0729,154,33330.09
76,2024-07-11,South America,Product B,C0657,339,74192.21
77,2025-07-03,Europe,Product B,C0027,57,17420.83
78,2025-02-10,Europe,Product E,C0986,322,150174.89
79,2025-06-10,North America,Product B,C0372,345,116709.06
80,2024-12-06,Asia-Pacific,Product A,C0710,490,161286.35
81,2025-01-03,Middle East,Product C,C0311,138,28992.12
82,2025-01-05,Middle East,Product C,C0956,44,7952.91
83,2025-03-12,Asia-Pacific,Product C,C0528,218,75398.04
84,2024-10-07,North America,Product C,C0672,77,30069.99
85,2024-11-26,North America,Product E,C0410,410,87942.46
86,2025-01-05,Africa,Product D,C0831,449,196881.16
87,2025-03-14,Middle East,Product C,C0410,376,94335.47
88,2025-03-28,South America,Product C,C0684,395,127949.78
89,2024-07-14,Asia-Pacific,Product E,C0410,420,202119.99
90,2024-08-17,North America,Product D,C0465,291,145367.33
91,2025-01-05,Africa,Product E,C0103,359,70373.01
92,2025-03-01,North America,Product A,C0274,285,57501.14
93,2025-04-02,Asia-Pacific,Product A,C0112,119,24206.7
94,2024-07-18,Europe,Product E,C0304,459,144037.6
95,2025-04-19,South America,Product C,C0083,200,26508.52
96,2025-03-17,North America,Product D,C0437,305,99472.03
97,2025-05-30,Europe,Product A,C0026,131,55785.63
98,2024-07-08,South America,Product B,C0624,399,67389.01
99,2025-03-04,Middle East,Product E,C0356,328,111600.34
100,2025-02-04,Asia-Pacific,Product E,C0026,195,21505.04
101,2025-03-14,South America,Product D,C0132,257,117763.28
102,2024-07-07,South America,Product C,C0998,468,165304.35
103,2025-02-02,Europe,Product D,C0297,237,44741.0
104,2024-07-15,Asia-Pacific,Product B,C0195,490,164337.43
105,2024-12-27,Middle East,Product E,C0804,208,86402.33
106,2025-01-15,South America,Product D,C0976,455,186702.23
107,2025-06-21,Africa,Product B,C0982,73,10755.3
108,2024-12-30,North America,Product B,C0890,94,12337.03
109,2024-07-23,Africa,Product C,C0882,372,48909.26
110,2025-03-16,Europe,Product B,C0513,274,19265.47
111,2024-10-23,South America,Product A,C0245,151,14030.21
112,2024-09-30,North America,Product A,C0033,163,20229.86
113,2024-10-16,North America,Product B,C0296,131,30075.48
114,2024-10-18,North America,Product E,C0305,134,28230.89
115,2024-07-21,Africa,Product D,C0204,348,60002.45
116,2025-01-08,Asia-Pacific,Product C,C0169,427,123964.45
117,2024-09-17,Africa,Product E,C0099,152,74148.99
118,2024-07-29,Europe,Product B,C0720,205,58628.28
119,2025-07-04,North America,Product E,C0445,212,45673.66
120,2024-12-03,North America,Product A,C0056,326,28610.63
121,2025-06-30,Middle East,Product C,C0975,498,61998.74
122,2024-11-29,Middle East,Product D,C0455,272,41306.32
123,2025-03-17,South America,Product D,C0746,159,69431.92
124,2025-03-22,Europe,Product D,C0039,206,100829.23
125,2024-09-07,Africa,Product E,C0385,393,185360.22
126,2024-09-26,Europe,Product A,C0038,237,45973.45
127,2025-02-25,South America,Product B,C0415,325,139743.63
128,2024-12-12,Asia-Pacific,Product A,C0993,372,172680.61
129,2025-05-02,North America,Product E,C0044,254,29712.33
130,2024-12-21,Africa,Product E,C0442,140,47337.02
131,2024-08-30,Asia-Pacific,Product E,C0882,444,60817.16
132,2025-06-10,Asia-Pacific,Product B,C0259,418,157010.32
133,2024-12-15,North America,Product B,C0428,491,197242.49
134,2024-09-06,South America,Product D,C0521,133,39992.72
135,2024-08-03,Europe,Product E,C0670,431,25436.55
136,2024-12-30,Middle East,Product A,C0525,131,19067.23
137,2024-12-28,Middle East,Product E,C0966,64,4980.76
138,2024-10-21,Africa,Product D,C0299,145,28350.47
139,2024-10-08,Africa,Product B,C0047,247,114106.98
140,2025-05-03,Asia-Pacific,Product D,C0349,442,24052.07
141,2025-04-14,Africa,Product D,C0534,259,41214.19
142,2024-10-17,Middle East,Product D,C0611,223,93448.85
143,2024-12-26,Middle East,Product D,C0026,32,4056.31
144,2025-06-30,Europe,Product E,C0886,417,55680.7
145,2024-09-22,North America,Product E,C0058,87,37924.56
146,2025-05-04,Africa,Product D,C0235,403,82217.14
147,2024-08-23,Middle East,Product C,C0417,334,127585.63
148,2024-08-19,South America,Product B,C0218,223,15077.56
149,2025-02-23,South America,Product B,C0091,88,20962.24
150,2025-01-31,North America,Product E,C0007,184,36222.65
151,2024-08-04,Africa,Product E,C0456,495,188919.07
152,2025-05-10,Africa,Product E,C0417,88,13342.75
153,2025-03-12,Middle East,Product A,C0607,296,100380.65
154,2024-10-13,Middle East,Product C,C0014,143,54718.8
155,2024-09-05,Europe,Product A,C0071,271,64593.01
156,2025-05-28,Europe,Product D,C0855,265,76717.33
157,2024-08-24,Middle East,Product D,C0133,80,38806.54
158,2024-10-06,South America,Product A,C0580,217,76526.28
159,2025-03-15,Europe,Product D,C0082,119,30088.82
160,2024-08-31,Middle East,Product C,C0754,294,59469.93
161,2024-09-24,Middle East,Product E,C0157,21,6618.7
162,2025-01-18,Europe,Product E,C0941,64,3914.9
163,2024-07-07,Europe,Product B,C0866,297,15900.85
164,2025-05-19,Europe,Product D,C0031,21,3220.01
165,2024-11-21,Europe,Product B,C0223,241,99984.53
166,2025-01-02,South America,Product D,C0512,426,31176.49
167,2025-04-29,Middle East,Product D,C0972,320,108932.93
168,2024-11-14,Europe,Product A,C0790,453,73059.94
169,2024-12-05,Africa,Product A,C0404,226,61956.19
170,2024-11-28,South America,Product C,C0361,450,159769.45
171,2025-06-03,North America,Product A,C0686,402,84870.62
172,2025-06-09,Asia-Pacific,Product A,C0583,274,84205.45
173,2025-01-26,Middle East,Product E,C0601,295,31618.25
174,2024-12-12,Africa,Product D,C0350,264,101006.94
175,2024-08-25,South America,Product B,C0713,389,166848.63
176,2024-12-06,Europe,Product E,C0508,189,23872.99
177,2024-08-12,North America,Product D,C0610,277,30163.32
178,2024-12-28,Europe,Product C,C0107,94,34379.17
179,2025-02-19,Asia-Pacific,Product E,C0772,159,16033.86
180,2025-06-28,South America,Product D,C0880,472,176294.2
181,2025-02-22,Asia-Pacific,Product C,C0850,229,52465.45
182,2025-06-02,Middle East,Product B,C0221,56,21316.16
183,2024-10-27,Europe,Product C,C0676,267,75007.32
184,2025-01-15,Asia-Pacific,Product D,C0483,215,42822.19
185,2024-07-14,North America,Product A,C0783,412,93945.23
186,2024-10-23,Europe,Product B,C0720,402,177207.29
187,2025-06-15,Europe,Product A,C0713,271,127657.4
188,2024-10-19,Asia-Pacific,Product D,C0572,493,128604.01
189,2024-12-28,Middle East,Product B,C0376,335,94869.32
190,2025-02-11,Europe,Product A,C0672,104,5223.97
191,2024-07-16,Middle East,Product A,C0221,453,198542.68
192,2024-12-07,Africa,Product E,C0210,144,30212.19
193,2025-01-10,North America,Product A,C0684,212,31772.77
194,2025-04-25,Africa,Product D,C0496,472,69923.59
195,2025-02-21,Asia-Pacific,Product C,C0733,165,50634.03
196,2025-06-12,Africa,Product B,C0957,185,32817.16
197,2025-02-18,Europe,Product D,C0328,253,32461.28
198,2024-11-24,North America,Product E,C0777,63,22932.27
199,2024-08-28,North America,Product D,C0604,407,79383.1
200,2024-10-17,Asia-Pacific,Product A,C0445,273,86648.7
201,2024-10-31,Europe,Product D,C0528,271,35661.61
202,2025-05-30,Europe,Product B,C0874,444,120163.34
203,2024-08-27,South America,Product B,C0633,57,7524.23
204,2024-08-31,North America,Product A,C0772,471,196027.28
205,2024-07-16,North America,Product C,C0259,214,89154.94
206,2024-07-11,Africa,Product D,C0202,277,45724.17
207,2024-12-29,Europe,Product C,C0143,326,31061.66
208,2024-10-22,Middle East,Product D,C0723,225,22358.49
209,2025-06-02,Asia-Pacific,Product A,C0907,294,69573.57
210,2025-02-10,Europe,Product D,C0249,466,225129.6
211,2024-11-10,Asia-Pacific,Product C,C0776,318,154058.58
212,2025-04-24,South America,Product E,C0452,226,81871.46
213,2025-05-31,North America,Product A,C0246,291,113598.25
214,2025-03-25,North America,Product B,C0556,169,19308.13
215,2024-09-23,Asia-Pacific,Product C,C0893,201,92769.34
216,2025-03-31,Asia-Pacific,Product B,C0418,325,73466.14
217,2024-11-13,Africa,Product E,C0391,199,67216.8
218,2024-12-20,Asia-Pacific,Product E,C0602,118,23187.76
219,2025-01-13,Asia-Pacific,Product D,C0685,54,12125.46
220,2025-01-16,Middle East,Product D,C0725,404,139997.66
221,2025-01-24,Asia-Pacific,Product E,C0888,10,2712.1
222,2025-04-22,Europe,Product C,C0356,237,62619.46
223,2025-05-26,Africa,Product A,C0263,487,91577.97
224,2024-07-16,South America,Product A,C0425,338,36562.37
225,2024-09-12,Africa,Product D,C0489,148,70820.17
226,2024-11-02,North America,Product C,C0886,59,15180.93
227,2024-08-28,Africa,Product C,C0825,261,83079.54
228,2024-07-11,Middle East,Product B,C0768,104,37101.05
229,2025-06-25,Europe,Product A,C0247,84,37409.06
230,2024-12-04,Asia-Pacific,Product E,C0964,78,6381.59
231,2024-12-15,North America,Product A,C0914,484,237934.07
232,2025-02-17,Africa,Product A,C0564,277,108275.26
233,2024-09-02,Africa,Product E,C0027,240,105286.29
234,2024-10-18,Asia-Pacific,Product C,C0831,290,26254.95
235,2024-12-19,Middle East,Product C,C0202,57,11104.88
236,2024-11-09,Europe,Product C,C0738,229,27450.42
237,2025-06-17,South America,Product A,C0928,485,177653.68
238,2025-03-05,Middle East,Product E,C0404,113,32645.97
239,2025-04-11,Europe,Product C,C0421,329,77392.29
240,2025-02-10,Africa,Product D,C0500,84,38050.69
241,2025-05-05,Middle East,Product A,C0461,36,12796.45
242,2024-12-06,South America,Product B,C0583,13,6096.09
243,2024-07-25,South America,Product C,C0938,275,99417.71
244,2025-04-10,Asia-Pacific,Product E,C0753,235,81294.66
245,2025-02-01,North America,Product B,C0576,141,39519.44
246,2025-06-10,North America,Product C,C0926,390,137612.55
247,2024-10-08,Middle East,Product A,C0379,24,11510.87
248,2025-01-28,South America,Product D,C0610,308,71273.06
249,2025-01-31,Asia-Pacific,Product A,C0658,191,47961.11
250,2024-11-04,Middle East,Product E,C0234,429,137283.3
251,2025-04-03,Africa,Product E,C0357,24,7179.28
252,2025-03-03,North America,Product B,C0009,417,177848.74
253,2024-11-11,Middle East,Product E,C0992,467,66870.07
254,2025-05-12,Africa,Product A,C0239,59,3889.98
255,2024-11-15,Europe,Product C,C0718,100,34835.84
256,2025-05-14,Asia-Pacific,Product E,C0954,142,7158.01
257,2024-09-29,Middle East,Product D,C0353,174,39893.63
258,2024-08-28,Middle East,Product C,C0379,345,59806.49
259,2025-02-25,North America,Product B,C0918,31,6714.13
260,2024-11-26,Asia-Pacific,Product E,C0276,270,103410.13
261,2024-12-04,South America,Product C,C0892,419,140698.84
262,2025-02-24,Africa,Product C,C0707,70,34863.1
263,2025-02-09,Africa,Product C,C0940,446,23977.26
264,2025-02-15,North America,Product C,C0686,297,61980.73
265,2025-05-29,Middle East,Product A,C0133,53,5201.91
266,2025-01-01,Asia-Pacific,Product D,C0681,105,27771.35
267,2025-05-20,Europe,Product D,C0190,148,72066.99
268,2025-07-01,Asia-Pacific,Product D,C0089,117,27670.7
269,2024-07-23,Africa,Product E,C0615,427,122203.84
270,2025-06-13,Africa,Product A,C0731,277,111229.17
271,2024-11-03,South America,Product C,C0750,128,37467.07
272,2025-01-10,Europe,Product A,C0540,182,57069.53
273,2024-10-16,South America,Product B,C0114,173,28276.4
274,2024-09-17,North America,Product D,C0838,413,60768.85
275,2024-07-22,South America,Product E,C0346,402,123143.56
276,2025-04-08,Europe,Product E,C0248,188,20152.36
277,2024-09-12,South America,Product D,C0438,159,65532.35
278,2024-10-26,Middle East,Product E,C0366,326,93523.33
279,2024-08-09,Africa,Product C,C0162,265,65547.89
280,2025-03-28,Africa,Product B,C0660,447,142289.06
281,2025-02-14,Africa,Product B,C0580,238,73427.53
282,2024-08-17,Africa,Product A,C0692,51,17672.29
283,2025-07-04,Asia-Pacific,Product C,C0094,173,75577.43
284,2024-10-22,South America,Product A,C0875,420,84688.61
285,2025-03-04,Middle East,Product C,C0195,184,87998.83
286,2024-11-18,Africa,Product E,C0633,477,59140.86
287,2024-11-06,North America,Product A,C0806,428,70157.63
288,2024-07-24,Africa,Product B,C0914,340,99230.33
289,2024-09-21,Europe,Product A,C0406,314,66404.64
290,2024-08-09,Middle East,Product E,C0038,358,166419.4
291,2024-07-09,South America,Product D,C0876,400,87581.24
292,2025-03-03,Middle East,Product D,C0307,185,18075.0
293,2024-07-20,Asia-Pacific,Product D,C0297,436,172453.91
294,2024-07-30,Africa,Product D,C0003,366,176793.45
295,2024-10-21,North America,Product D,C0949,366,77211.78
296,2024-10-13,Europe,Product D,C0176,361,19457.5
297,2025-01-24,Asia-Pacific,Product E,C0327,190,11777.58
298,2025-06-12,Europe,Product C,C0155,361,26362.07
299,2024-08-27,South America,Product C,C0731,64,15169.1
300,2025-06-18,Middle East,Product B,C0269,71,28208.75
301,2025-01-10,Europe,Product D,C0265,49,14052.85
302,2025-02-19,Europe,Product B,C0554,454,24499.59
303,2025-02-25,Europe,Product B,C0447,157,12677.32
304,2024-10-09,South America,Product C,C0930,485,147683.64
305,2024-10-18,Europe,Product C,C0219,319,35730.91
306,2025-04-30,Asia-Pacific,Product E,C0995,283,82943.96
307,2025-05-15,Asia-Pacific,Product D,C0575,27,3023.9
308,2024-08-20,Middle East,Product A,C0244,221,17546.71
309,2025-05-02,South America,Product E,C0081,10,790.1
310,2025-03-22,North America,Product D,C0558,291,137010.17
311,2025-05-26,Africa,Product E,C0436,342,123981.65
312,2025-06-14,Europe,Product D,C0582,210,76680.33
313,2025-03-26,Africa,Product D,C0498,127,41126.41
314,2025-05-28,Europe,Product C,C0988,273,121597.74
315,2024-08-16,South America,Product C,C0470,64,7204.03
316,2025-05-26,Asia-Pacific,Product B,C0819,461,64709.86
317,2025-07-02,Europe,Product A,C0089,24,8204.99
318,2025-04-07,Asia-Pacific,Product B,C0052,164,13837.48
319,2024-10-27,Africa,Product B,C0423,470,45791.47
320,2025-06-11,Africa,Product C,C0853,313,127453.75
321,2024-11-13,South America,Product E,C0591,203,15706.73
322,2024-12-02,Europe,Product B,C0994,90,30967.81
323,2025-05-27,Middle East,Product A,C0228,385,93691.68
324,2025-06-09,Asia-Pacific,Product C,C0915,351,51392.03
325,2024-10-29,South America,Product A,C0815,474,78128.51
326,2025-06-20,Asia-Pacific,Product D,C0648,378,87291.77
327,2025-04-30,South America,Product C,C0628,332,127263.53
328,2025-04-06,Africa,Product C,C0800,423,152883.09
329,2025-06-20,Europe,Product D,C0440,373,178561.58
330,2024-11-27,North America,Product C,C0791,224,89460.91
331,2024-12-15,Africa,Product D,C0454,95,20260.9
332,2025-06-18,Africa,Product A,C0881,341,130975.14
333,2025-05-04,Asia-Pacific,Product E,C0189,50,3694.4
334,2025-01-13,Middle East,Product D,C0193,30,4535.19
335,2025-05-23,Europe,Product D,C0073,402,167709.55
336,2025-02-28,Middle East,Product B,C0569,354,97110.25
337,2025-05-15,South America,Product D,C0603,480,193014.35
338,2025-02-28,Middle East,Product A,C0371,163,53879.62
339,2024-09-06,Europe,Product D,C0908,134,45292.77
340,2024-11-27,Africa,Product C,C0723,269,92081.85
341,2025-04-10,South America,Product C,C0248,458,174735.43
342,2025-05-17,Asia-Pacific,Product A,C0140,93,31594.42
343,2025-02-16,Asia-Pacific,Product D,C0242,240,81823.33
344,2025-03-18,Europe,Product C,C0701,142,41235.06
345,2024-09-10,North America,Product E,C0879,430,200913.83
346,2024-11-16,Europe,Product C,C0341,42,17199.45
347,2024-12-06,Africa,Product E,C0080,133,15483.81
348,2024-11-25,Africa,Product A,C0657,147,37265.9
349,2024-08-07,Asia-Pacific,Product B,C0811,82,29910.95
350,2025-03-18,Asia-Pacific,Product A,C0768,282,69041.04
351,2025-02-03,North America,Product B,C0732,403,170404.65
352,2025-01-13,Asia-Pacific,Product C,C0239,32,6792.7
353,2024-10-21,Europe,Product E,C0518,438,212779.54
354,2025-04-26,Middle East,Product A,C0089,486,210962.83
355,2025-05-08,North America,Product E,C0582,76,32959.46
356,2024-12-24,Middle East,Product E,C0284,429,150467.63
357,2024-12-02,North America,Product B,C0886,195,82529.91
358,2025-02-14,Africa,Product E,C0728,490,40333.0
359,2025-06-28,Middle East,Product E,C0269,39,7224.58
360,2025-07-05,Africa,Product C,C0767,370,119587.97
361,2024-12-26,Africa,Product D,C0971,321,104837.53
362,2024-08-16,Asia-Pacific,Product E,C0246,207,65045.41
363,2024-08-04,Asia-Pacific,Product D,C0669,108,12840.58
364,2024-10-09,Middle East,Product E,C0516,84,10655.84
365,2025-06-21,South America,Product E,C0048,146,17827.32
366,2025-06-06,Middle East,Product A,C0441,391,163944.66
367,2025-03-05,Asia-Pacific,Product B,C0955,34,7968.16
368,2024-11-09,North America,Product D,C0021,425,89326.38
369,2025-03-14,North America,Product A,C0948,113,22458.49
370,2024-08-14,Europe,Product D,C0771,61,28632.55
371,2024-09-05,North America,Product B,C0667,307,56595.33
372,2025-04-29,South America,Product D,C0573,51,17017.26
373,2025-01-13,South America,Product E,C0658,287,80958.33
374,2024-10-17,South America,Product E,C0510,441,203739.64
375,2025-02-10,Europe,Product C,C0516,457,106521.36
376,2024-08-24,Europe,Product A,C0571,53,9582.36
377,2024-11-06,North America,Product A,C0734,392,59267.16
378,2025-01-03,Europe,Product D,C0271,472,192093.82
379,2025-05-30,Middle East,Product E,C0574,353,52946.11
380,2024-11-18,North America,Product D,C0945,405,47925.34
381,2025-06-15,Africa,Product E,C0653,121,16962.33
382,2024-12-03,Middle East,Product B,C0775,207,97810.59
383,2024-11-25,Africa,Product A,C0854,445,46628.74
384,2024-08-13,Africa,Product E,C0897,206,93590.96
385,2024-08-08,Europe,Product B,C0697,118,56127.31
386,2024-09-07,South America,Product C,C0920,305,104728.86
387,2024-11-23,North America,Product B,C0761,74,22573.12
388,2024-07-11,North America,Product A,C0978,66,15430.65
389,2024-09-14,North America,Product E,C0438,59,5651.21
390,2025-03-06,Africa,Product E,C0871,268,103925.62
391,2024-10-06,Asia-Pacific,Product E,C0780,93,23444.37
392,2025-03-20,North America,Product B,C0117,318,56305.46
393,2025-01-19,Africa,Product A,C0273,442,145583.2
394,2024-10-11,South America,Product D,C0161,219,62946.5
395,2024-07-22,Europe,Product A,C0462,26,12250.02
396,2025-02-21,Asia-Pacific,Product C,C0611,107,6568.33
397,2024-11-17,North America,Product A,C0365,493,67918.64
398,2024-08-03,South America,Product A,C0053,470,178420.14
399,2024-10-18,North America,Product E,C0989,388,126010.63
400,2025-04-30,Europe,Product A,C0360,167,76899.11
401,2024-11-06,Africa,Product C,C0238,135,11026.46
402,2024-07-19,North America,Product D,C0983,79,25671.57
403,2024-08-20,South America,Product B,C0960,105,39632.74
404,2024-11-01,North America,Product C,C0469,355,112240.17
405,2024-08-01,Asia-Pacific,Product A,C0901,336,64734.39
406,2025-04-04,North America,Product C,C0489,448,46374.51
407,2025-02-06,Middle East,Product A,C0136,143,58048.16
408,2025-04-20,Middle East,Product B,C0700,419,114899.56
409,2024-09-21,South America,Product E,C0134,380,40952.72
410,2024-08-06,North America,Product E,C0405,45,6787.43
411,2025-05-22,Africa,Product E,C0530,451,217683.61
412,2025-01-22,Europe,Product E,C0753,221,45878.09
413,2024-08-07,Europe,Product A,C0919,87,41631.45
414,2025-05-16,South America,Product D,C0393,257,93255.89
415,2025-01-06,Asia-Pacific,Product C,C0313,105,9809.66
416,2025-05-22,Europe,Product A,C0661,116,53819.5
417,2024-11-03,Africa,Product E,C0280,441,100985.33
418,2025-06-03,North America,Product E,C0627,238,32478.07
419,2024-09-26,North America,Product E,C0284,333,57467.16
420,2025-06-25,Middle East,Product C,C0064,172,61783.46
421,2024-08-20,Europe,Product B,C0999,299,76398.27
422,2024-10-18,Europe,Product E,C0779,445,114937.02
423,2025-05-08,Asia-Pacific,Product D,C0943,324,100402.17
424,2024-08-09,Europe,Product D,C0451,129,49684.54
425,2024-08-31,Asia-Pacific,Product A,C0186,468,90218.87
426,2024-12-09,South America,Product A,C0960,231,32981.44
427,2025-02-06,North America,Product D,C0679,344,168344.76
428,2025-03-06,South America,Product D,C0102,206,20649.83
429,2024-07-19,Middle East,Product E,C0961,221,93000.7
430,2025-02-09,Europe,Product B,C0634,474,72367.92
431,2025-03-19,South America,Product E,C0001,376,57156.47
432,2024-08-28,South America,Product B,C0645,267,44857.21
433,2025-05-19,Asia-Pacific,Product B,C0947,104,14103.41
434,2024-07-20,Africa,Product C,C0449,98,31898.94
435,2025-06-20,Asia-Pacific,Product C,C0130,188,72506.87
436,2025-03-03,Africa,Product E,C0543,225,40568.85
437,2024-09-02,Africa,Product B,C0340,128,17246.8
438,2024-12-21,North America,Product B,C0622,377,171842.78
439,2025-02-13,South America,Product C,C0261,438,161767.14
440,2025-06-27,Africa,Product A,C0424,239,49644.49
441,2024-10-08,Africa,Product B,C0857,252,50367.77
442,2025-01-16,Africa,Product B,C0492,306,40396.11
443,2024-08-05,North America,Product E,C0271,171,62881.4
444,2024-07-12,South America,Product B,C0558,121,25231.2
445,2025-07-02,Europe,Product A,C0768,78,26758.62
446,2024-11-30,South America,Product A,C0740,129,21861.4
447,2024-07-11,North America,Product A,C0590,252,17014.66
448,2025-02-25,Africa,Product A,C0933,236,109304.72
449,2024-11-16,North America,Product E,C0203,462,219571.32
450,2024-09-15,South America,Product D,C0844,219,13229.84
451,2024-08-21,Europe,Product B,C0497,34,14005.71
452,2024-07-20,North America,Product E,C0529,481,91466.54
453,2024-11-15,North America,Product E,C0374,232,105866.96
454,2024-11-11,Africa,Product D,C0569,299,33839.96
455,2025-06-03,South America,Product E,C0612,324,129639.34
456,2025-06-09,Middle East,Product C,C0327,54,6834.7
457,2025-05-07,Asia-Pacific,Product B,C0864,132,38504.79
458,2025-02-09,Europe,Product D,C0923,151,71573.61
459,2025-03-17,North America,Product E,C0708,53,9678.79
460,2024-08-29,Africa,Product B,C0893,492,161226.35
461,2025-06-10,Europe,Product A,C0450,309,83275.87
462,2025-05-05,Asia-Pacific,Product B,C0187,207,99339.17
463,2025-05-28,North America,Product B,C0904,453,24290.42
464,2025-05-15,Asia-Pacific,Product D,C0910,36,15354.94
465,2025-04-22,North America,Product E,C0161,90,13997.72
466,2024-11-06,Africa,Product B,C0950,209,69866.15
467,2024-12-19,South America,Product D,C0436,356,97394.72
468,2025-06-09,North America,Product D,C0335,454,151006.77
469,2025-07-05,Middle East,Product D,C0403,261,125699.84
470,2024-12-28,South America,Product E,C0614,72,25188.49
471,2025-06-19,Europe,Product E,C0407,267,62259.23
472,2024-10-06,Asia-Pacific,Product E,C0666,140,7865.41
473,2025-02-24,Europe,Product B,C0738,420,43150.57
474,2024-12-27,North America,Product C,C0560,404,181592.57
475,2024-09-06,South America,Product D,C0419,318,76603.37
476,2025-02-24,Africa,Product D,C0074,104,17055.77
477,2024-10-31,Asia-Pacific,Product D,C0648,181,25561.59
478,2025-06-22,Africa,Product E,C0849,289,49807.88
479,2025-03-11,Middle East,Product C,C0889,84,16983.93
480,2025-06-04,Europe,Product B,C0178,270,124735.69
481,2025-04-16,Middle East,Product E,C0819,219,91715.65
482,2024-10-30,Africa,Product A,C0343,20,3625.07
483,2024-07-21,Europe,Product B,C0397,350,165401.27
484,2025-03-20,South America,Product A,C0036,477,65386.59
485,2024-12-16,Africa,Product C,C0221,449,68126.37
486,2024-10-18,Asia-Pacific,Product D,C0092,125,53051.99
